DISTRITO FEDERAL,DISTRITO LOCAL,REGIÓN,MUNICIPIO,,POLÍGONO,SECCIÓN,LNOM,META,COMPROMISOS,AVANCE,DETECTADOS,OTROS,PORCENTAJE,EFECTIVIDAD
14,19,R6,CELAYA,,30_327_2_03,438_56_374902,770,385,192.5,192.5,64.16666667,0,0,0
14,19,R6,CELAYA,,30_327_2_03,438_56_375902,400,200,100,100,33.33333333,6,0,-100
14,19,R6,CELAYA,,30_327_2_03,438_56_376902,614,307,153.5,153.5,51.16666667,6,0,-100
14,19,R6,CELAYA,,30_327_4_03,438_56_388902,514,257,128.5,128.5,42.83333333,685,0,-100
14,19,R6,CELAYA,,30_327_4_03,438_56_389902,398,199,99.5,99.5,33.16666667,51,0,-100
14,19,R6,CELAYA,,30_327_1_03,438_56_390902,412,206,103,103,34.33333333,543,0,-100
14,19,R6,CELAYA,,30_327_4_03,438_56_397902,368,184,92,92,30.66666667,457,0,-100
14,19,R6,CELAYA,,30_327_4_03,438_56_398902,406,203,101.5,101.5,33.83333333,25,0,-100
14,19,R6,CELAYA,,30_327_4_03,438_56_399902,552,276,138,138,46,31,0,-100
14,19,R6,CELAYA,,30_327_4_03,438_56_400902,394,197,98.5,98.5,32.83333333,1,0,-100
14,19,R6,CELAYA,,30_327_4_03,438_56_401902,456,228,114,114,38,4,0,-100
14,19,R6,CELAYA,,30_327_4_03,438_56_402902,1818,909,454.5,454.5,151.5,13,0,-100
14,19,R6,CELAYA,,30_327_8_03,438_56_403902,240,120,60,60,20,363,0,-100
14,19,R6,CELAYA,,30_327_8_03,438_56_404902,224,112,56,56,18.66666667,311,0,-100
14,19,R6,CELAYA,,30_327_8_03,438_56_420902,220,110,55,55,18.33333333,2,0.9091,-33.3333
14,19,R6,CELAYA,,30_327_4_03,438_56_421902,310,155,77.5,77.5,25.83333333,181,4.5161,-92.5532
14,19,R6,CELAYA,,30_327_4_03,438_56_422902,526,263,131.5,131.5,43.83333333,328,4.943,-92.3754
14,19,R6,CELAYA,,30_327_4_03,438_56_423902,224,112,56,56,18.66666667,2,0,-100
14,19,R6,CELAYA,,30_327_4_03,438_56_424902,330,165,82.5,82.5,27.5,5,0.6061,-66.6667
14,19,R6,CELAYA,,30_327_4_03,438_56_425902,278,139,69.5,69.5,23.16666667,2,0,-100
14,19,R6,CELAYA,,30_327_4_03,438_56_426902,312,156,78,78,26,5,0,-100
